,,,,,,
Second Experiment,,,,,,
,,,,,,
Ramp height:,Roll no.,Up or down,tiles,tiles cm,last tile cm,cm
8cm,1,Down (bowtie side),10,500,40,540
,2,Up (circle side),11,550,20,570
,3,Up (circle side),10,500,46,546
,4,Down (bowtie side),11,550,35,585
,5,Down (bowtie side),12,600,4,604
,6,Up (circle side),10,500,22,522
,7,Down (bowtie side),11,550,33,583
,8,Up (circle side),11,550,10,560
,9,Down (bowtie side),12,600,2,602
,10,Up (circle side),11,550,31,581
,,,,,,
,,,,,,
Ramp height:,Roll no,Up or down,tiles,tiles cm,last tile cm,cm
10cm,1,Up (circle side),15,750,39,789
,2,Down (bowtie side),14,700,21,721
,3,Down (bowtie side),13,650,48,698
,4,Up (circle side),16,800,12,812
,5,Up (circle side),15,750,5,755
,6,Down (bowtie side),14,700,23,723
,7,Down (bowtie side),15,750,42,792
,8,Up (circle side),16,800,17,817
,9,Down (bowtie side),15,750,43,793
,10,Up (circle side),16,800,3,803
,,,,,,
,,,,,,
Ramp height:,Roll no,Up or down,tiles,tiles cm,last tile cm,cm
14cm,1,Up (circle side),15,750,29,779
,2,Down (bowtie side),16,800,45,845
,3,Up (circle side),17,850,42,892
,4,Down (bowtie side),17,850,20,870
,5,Down (bowtie side),15,750,22,772
,6,Down (bowtie side),15,750,31,781
,7,Down (bowtie side),16,800,12,812
,8,Down (bowtie side),17,850,9,859
,9,Down (bowtie side),16,800,39,839
,10,Down (bowtie side),17,850,14,864
